from_region,to_region,mobility_rate
ALB,ESP,0.002372
ALB,MCO,0.005641
ALB,MDA,0.006637
ALB,GBR,0.006637
ALB,DEU,0.007593
ALB,MLT,0.00602
ALB,DNK,0.001741
ALB,IRL,0.006931
AND,LVA,0.003353
AND,MDA,0.007974
AND,MLT,0.007023
AND,ESP,0.00335
AND,NOR,0.007267
AND,MCO,0.00273
AND,HRV,0.005572
AND,BGR,0.002681
AUT,ESP,0.003792
AUT,HRV,0.001665
AUT,MLT,0.007913
BLR,GBR,0.003987
BLR,ALB,0.006352
BLR,CZE,0.005475
BLR,NOR,0.004241
BLR,NLD,0.002477
BLR,SWE,0.001464
BEL,NLD,0.003026
BEL,SVN,0.004623
BEL,CZE,0.002441
BEL,MNE,0.004833
BIH,PRT,0.004848
BIH,MDA,0.003921
BIH,BEL,0.006548
BGR,GBR,0.003592
BGR,RUS,0.005117
BGR,IRL,0.00714
BGR,SMR,0.006073
HRV,BGR,0.004917
HRV,FRA,0.001591
HRV,AUT,0.001559
HRV,SVK,0.007805
CZE,AUT,0.005039
CZE,NOR,0.005049
CZE,ROU,0.00283
CZE,PRT,0.007615
CZE,LTU,0.004796
DNK,ESP,0.007148
DNK,CZE,0.007905
DNK,MDA,0.006234
DNK,BEL,0.001959
DNK,NOR,0.004977
EST,SRB,0.005307
EST,SWE,0.003074
EST,SVK,0.007271
EST,CHE,0.003897
EST,LVA,0.006103
EST,PRT,0.001604
EST,DEU,0.001463
EST,IRL,0.007316
FIN,IRL,0.001968
FIN,ESP,0.006033
FIN,BEL,0.006087
FIN,BIH,0.001223
FRA,AND,0.001734
FRA,CZE,0.004118
FRA,IRL,0.002897
FRA,LTU,0.00237
FRA,HUN,0.003907
FRA,FIN,0.002999
DEU,AUT,0.00183
DEU,ESP,0.005281
DEU,PRT,0.006849
DEU,SWE,0.006556
DEU,SVK,0.002766
DEU,HRV,0.006466
DEU,HUN,0.001401
GRC,FIN,0.00496
GRC,MKD,0.005221
GRC,LUX,0.003797
GRC,MDA,0.007464
GRC,SWE,0.002843
GRC,BLR,0.004356
HUN,PRT,0.007532
HUN,ESP,0.006889
HUN,UKR,0.004409
HUN,FIN,0.003405
ISL,GBR,0.004634
ISL,RUS,0.007364
ISL,BEL,0.00585
ISL,POL,0.001843
ISL,HRV,0.003095
ISL,GRC,0.002884
IRL,BLR,0.001337
IRL,GBR,0.002489
IRL,CHE,0.007355
ITA,MLT,0.007529
ITA,AUT,0.001827
ITA,NLD,0.004233
ITA,MDA,0.007763
ITA,BLR,0.006022
LVA,AUT,0.003435
LVA,LUX,0.007858
LVA,FRA,0.004201
LVA,LTU,0.005772
LVA,ROU,0.004102
LVA,EST,0.004211
LVA,ESP,0.002497
LTU,SVN,0.006662
LTU,ITA,0.004991
LTU,AND,0.005613
LTU,SWE,0.003725
LTU,LVA,0.003609
LTU,BLR,0.00667
LUX,BGR,0.00215
LUX,FRA,0.004881
