day,region_id,susceptible,infected,recovered,dead
0,1,8469999,0,1,0
0,2,7799999,0,1,0
0,3,6759999,0,1,0
0,4,5099999,0,1,0
0,5,2699999,0,1,0
0,6,2399999,0,1,0
0,7,2199999,0,1,0
0,8,2199999,0,1,0
0,9,1999999,0,1,0
0,10,1499999,0,1,0
0,11,1299999,0,1,0
0,12,999999,0,1,0
0,13,1199999,0,1,0
0,14,1049999,0,1,0
0,15,659999,0,1,0
0,16,579999,0,1,0
0,17,319999,0,1,0
0,18,84999,0,1,0
0,19,86999,0,1,0
1,1,8469999,0,1,0
1,2,7799999,0,1,0
1,3,6759999,0,1,0
1,4,5099999,0,1,0
1,5,2699999,0,1,0
1,6,2399999,0,1,0
1,7,2199999,0,1,0
1,8,2199999,0,1,0
1,9,1999999,0,1,0
1,10,1499999,0,1,0
1,11,1299999,0,1,0
1,12,999999,0,1,0
1,13,1199999,0,1,0
1,14,1049999,0,1,0
1,15,659999,0,1,0
1,16,579999,0,1,0
1,17,319999,0,1,0
1,18,84999,0,1,0
1,19,86999,0,1,0
2,1,8469999,0,1,0
2,2,7799999,0,1,0
2,3,6759999,0,1,0
2,4,5099999,0,1,0
2,5,2699999,0,1,0
2,6,2399999,0,1,0
2,7,2199999,0,1,0
2,8,2199999,0,1,0
2,9,1999999,0,1,0
2,10,1499999,0,1,0
2,11,1299999,0,1,0
2,12,999999,0,1,0
2,13,1199999,0,1,0
2,14,1049999,0,1,0
2,15,659999,0,1,0
2,16,579999,0,1,0
2,17,319999,0,1,0
2,18,84999,0,1,0
2,19,86999,0,1,0
3,1,8469999,0,1,0
3,2,7799999,0,1,0
3,3,6759999,0,1,0
3,4,5099999,0,1,0
3,5,2699999,0,1,0
3,6,2399999,0,1,0
3,7,2199999,0,1,0
3,8,2199999,0,1,0
3,9,1999999,0,1,0
3,10,1499999,0,1,0
3,11,1299999,0,1,0
3,12,999999,0,1,0
3,13,1199999,0,1,0
3,14,1049999,0,1,0
3,15,659999,0,1,0
3,16,579999,0,1,0
3,17,319999,0,1,0
3,18,84999,0,1,0
3,19,86999,0,1,0
4,1,8469999,0,1,0
4,2,7799999,0,1,0
4,3,6759999,0,1,0
4,4,5099999,0,1,0
4,5,2699999,0,1,0
4,6,2399999,0,1,0
4,7,2199999,0,1,0
4,8,2199999,0,1,0
4,9,1999999,0,1,0
